"ClarityName","Months","busDays","actualDays","fte","Role","Team","Director","VP"
"Adelina Nabours",2015-06-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-07-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-08-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-09-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-10-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-11-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2015-12-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-01-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-02-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-03-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-04-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-05-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-06-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-07-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-08-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-09-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-10-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-11-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2016-12-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-01-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-02-01,20,20,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-03-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-04-01,20,20,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-05-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-06-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-07-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-08-01,23,23,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-09-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-10-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-11-01,22,22,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adelina Nabours",2017-12-01,21,21,1,"Team Lead","UX","Helga Pataki","Harry Potter"
"Adell Lipkin",2015-01-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-02-01,20,20,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-03-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-04-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-05-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-06-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-07-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-08-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-09-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-10-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-11-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2015-12-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-01-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-02-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-03-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-04-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-05-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-06-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-07-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-08-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-09-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-10-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-11-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2016-12-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-01-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-02-01,20,20,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-03-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-04-01,20,20,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-05-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-06-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-07-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-08-01,23,23,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-09-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-10-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-11-01,22,22,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adell Lipkin",2017-12-01,21,21,1,"Individual Contributor","Student AR","Michael Fassbender","Harry Potter"
"Adrian Hane",2015-01-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-02-01,20,20,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-03-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-04-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-05-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-06-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-07-01,23,23,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-08-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-09-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-10-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-11-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2015-12-01,23,23,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-01-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-02-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-03-01,23,23,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-04-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-05-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-06-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-07-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-08-01,23,23,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-09-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-10-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-11-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2016-12-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-01-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-02-01,20,20,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-03-01,23,23,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-04-01,20,20,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-05-01,23,23,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-06-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-07-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-08-01,23,23,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-09-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-10-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-11-01,22,22,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Adrian Hane",2017-12-01,21,21,1,"Individual Contributor","Students & AR","Leonardo Dicaprio","Harry Potter"
"Ahmed Angalich",2015-01-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-02-01,20,20,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-03-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-04-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-05-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-06-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-07-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-08-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-09-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-10-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-11-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2015-12-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-01-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-02-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-03-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-04-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-05-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-06-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-07-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-08-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-09-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-10-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-11-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2016-12-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-01-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-02-01,20,20,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-03-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-04-01,20,20,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-05-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-06-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-07-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-08-01,23,23,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-09-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-10-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-11-01,22,22,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Ahmed Angalich",2017-12-01,21,21,1,"Individual Contributor","Oracle","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-01-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-02-01,20,20,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-03-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-04-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-05-01,21,21,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-06-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-07-01,23,23,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-08-01,21,21,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-09-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-10-01,22,22,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-11-01,21,21,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2015-12-01,23,23,1,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alaine Bergesen",2016-01-01,21,11,0.52,"Individual Contributor","IT","Jesusa Shin","Harry Potter"
"Alan Barnes",2015-08-01,21,11,0.52,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2015-09-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2015-10-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2015-11-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2015-12-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-01-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-02-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-03-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-04-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-05-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-06-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-07-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-08-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-09-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-10-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-11-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2016-12-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-01-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-02-01,20,20,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-03-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-04-01,20,20,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-05-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-06-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-07-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-08-01,23,23,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-09-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-10-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-11-01,22,22,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alan Barnes",2017-12-01,21,21,1,"Individual Contributor","UX","Helga Pataki","Harry Potter"
"Alex Avila",2015-01-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-02-01,20,20,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-03-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-04-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-05-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-06-01,22,22,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-07-01,23,23,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
"Alex Avila",2015-08-01,21,21,1,"Individual Contributor","FA/AR","Leonardo Dicaprio","Harry Potter"
